=== Extensions ablation: 9 runs ===

[1/9] RUN  double_icm seed=0

=== Run: double_icm_seed0 ===
  Double DQN:         True
  Prioritized Replay: False
  ICM (curiosity):    True
  Reward shaping:     False

  Device: cpu
  Ep  760 | R   215.8 | Avg100   173.2 | Eps 0.010 | Loss 0.3700 | r_int   5.12 | t=173s
  Ep  770 | R   -18.0 | Avg100   174.1 | Eps 0.010 | Loss 0.3764 | r_int   5.24 | t=176s
  Ep  780 | R   203.3 | Avg100   178.7 | Eps 0.010 | Loss 0.2875 | r_int  16.23 | t=179s
  Ep  790 | R   190.1 | Avg100   184.0 | Eps 0.010 | Loss 0.3719 | r_int   5.48 | t=181s
  Ep  800 | R   216.5 | Avg100   187.2 | Eps 0.010 | Loss 0.3506 | r_int   7.68 | t=183s
  Ep  810 | R   204.1 | Avg100   194.3 | Eps 0.010 | Loss 0.3526 | r_int   7.14 | t=185s
  Ep  820 | R   234.7 | Avg100   199.9 | Eps 0.010 | Loss 0.2931 | r_int   5.17 | t=187s
  Ep  830 | R   209.8 | Avg100   203.6 | Eps 0.010 | Loss 0.3839 | r_int   7.86 | t=190s
  Ep  840 | R   233.1 | Avg100   207.4 | Eps 0.010 | Loss 0.3443 | r_int   7.68 | t=192s
  Ep  850 | R   230.2 | Avg100   210.7 | Eps 0.010 | Loss 0.3162 | r_int   5.20 | t=194s
  Ep  860 | R   268.5 | Avg100   221.4 | Eps 0.010 | Loss 0.4402 | r_int   6.04 | t=195s
  Ep  870 | R   264.2 | Avg100   229.9 | Eps 0.010 | Loss 0.4776 | r_int   6.74 | t=198s
  Ep  880 | R   285.6 | Avg100   230.8 | Eps 0.010 | Loss 0.4915 | r_int   6.64 | t=200s
  Ep  890 | R   181.4 | Avg100   230.2 | Eps 0.010 | Loss 0.3458 | r_int   7.81 | t=202s
  Ep  900 | R   117.9 | Avg100   228.8 | Eps 0.010 | Loss 0.4509 | r_int  14.04 | t=204s
  Ep  910 | R   197.5 | Avg100   228.5 | Eps 0.010 | Loss 0.3348 | r_int   5.78 | t=206s
  Ep  920 | R   273.3 | Avg100   230.4 | Eps 0.010 | Loss 0.3425 | r_int  15.21 | t=208s
  Ep  930 | R   219.6 | Avg100   233.6 | Eps 0.010 | Loss 0.4381 | r_int   8.85 | t=210s
  Ep  940 | R   234.1 | Avg100   232.8 | Eps 0.010 | Loss 0.3232 | r_int   7.90 | t=212s
  Ep  950 | R   255.7 | Avg100   233.0 | Eps 0.010 | Loss 0.4503 | r_int   4.79 | t=214s
  Ep  960 | R   261.3 | Avg100   232.6 | Eps 0.010 | Loss 0.4611 | r_int   9.35 | t=216s
  Ep  970 | R   278.5 | Avg100   234.1 | Eps 0.010 | Loss 0.3961 | r_int   6.96 | t=218s
  Ep  980 | R   221.8 | Avg100   236.6 | Eps 0.010 | Loss 0.3952 | r_int   5.48 | t=220s
  Ep  990 | R   209.6 | Avg100   237.1 | Eps 0.010 | Loss 0.4665 | r_int  15.11 | t=221s
  Ep 1000 | R   242.4 | Avg100   240.4 | Eps 0.010 | Loss 0.5156 | r_int   6.36 | t=223s

  Done. Log saved to logs/double_icm_seed0.csv
  Best 100-ep avg: 240.4

[2/9] RUN  double_icm seed=1

=== Run: double_icm_seed1 ===
  Double DQN:         True
  Prioritized Replay: False
  ICM (curiosity):    True
  Reward shaping:     False

  Device: cpu
  Ep   10 | R  -190.7 | Avg100  -215.6 | Eps 0.980 | Loss 1.5283 | r_int   0.76 | t=0s
  Ep   20 | R   -99.4 | Avg100  -173.4 | Eps 0.960 | Loss 1.4763 | r_int   4.07 | t=1s
  Ep   30 | R  -201.3 | Avg100  -169.7 | Eps 0.941 | Loss 1.2045 | r_int  17.00 | t=1s
  Ep   40 | R   -95.9 | Avg100  -159.9 | Eps 0.921 | Loss 1.8340 | r_int   0.71 | t=2s
  Ep   50 | R  -127.1 | Avg100  -166.7 | Eps 0.901 | Loss 1.4792 | r_int   4.08 | t=2s
  Ep   60 | R  -108.5 | Avg100  -168.2 | Eps 0.881 | Loss 1.5156 | r_int   3.28 | t=3s
  Ep   70 | R  -115.7 | Avg100  -160.5 | Eps 0.861 | Loss 1.1954 | r_int   1.98 | t=3s
  Ep   80 | R  -104.1 | Avg100  -155.6 | Eps 0.842 | Loss 1.2284 | r_int   2.97 | t=3s
  Ep   90 | R  -174.9 | Avg100  -153.4 | Eps 0.822 | Loss 1.1865 | r_int   6.72 | t=4s
  Ep  100 | R  -247.4 | Avg100  -150.9 | Eps 0.802 | Loss 1.1943 | r_int   2.23 | t=4s
  Ep  110 | R   -52.2 | Avg100  -142.6 | Eps 0.782 | Loss 1.2830 | r_int   2.67 | t=5s
  Ep  120 | R  -147.8 | Avg100  -140.8 | Eps 0.762 | Loss 1.6740 | r_int   1.43 | t=5s
  Ep  130 | R  -148.9 | Avg100  -137.1 | Eps 0.743 | Loss 1.7557 | r_int   2.83 | t=6s
  Ep  140 | R  -249.5 | Avg100  -134.4 | Eps 0.723 | Loss 1.4047 | r_int   7.96 | t=6s
  Ep  150 | R  -274.0 | Avg100  -130.7 | Eps 0.703 | Loss 0.9907 | r_int   2.57 | t=7s
  Ep  160 | R    -1.3 | Avg100  -119.8 | Eps 0.683 | Loss 1.5464 | r_int  10.92 | t=7s
  Ep  170 | R  -117.0 | Avg100  -118.4 | Eps 0.663 | Loss 1.2392 | r_int   2.72 | t=8s
  Ep  180 | R   -67.6 | Avg100  -113.1 | Eps 0.644 | Loss 1.4163 | r_int   1.60 | t=9s
  Ep  190 | R   -31.8 | Avg100  -106.0 | Eps 0.624 | Loss 1.2191 | r_int   3.02 | t=10s
  Ep  200 | R   -72.6 | Avg100   -98.1 | Eps 0.604 | Loss 1.2323 | r_int   2.22 | t=11s
  Ep  210 | R  -261.8 | Avg100   -94.8 | Eps 0.584 | Loss 1.3507 | r_int   3.69 | t=12s
  Ep  220 | R   -32.3 | Avg100   -84.8 | Eps 0.564 | Loss 1.1107 | r_int   2.72 | t=13s
  Ep  230 | R   118.5 | Avg100   -76.1 | Eps 0.545 | Loss 1.3989 | r_int 131.46 | t=14s
  Ep  240 | R     1.3 | Avg100   -67.5 | Eps 0.525 | Loss 1.4018 | r_int   4.05 | t=15s
  Ep  250 | R   -19.5 | Avg100   -56.8 | Eps 0.505 | Loss 1.3186 | r_int   2.00 | t=16s
  Ep  260 | R  -186.0 | Avg100   -54.0 | Eps 0.485 | Loss 1.3587 | r_int  31.49 | t=18s
  Ep  270 | R    -7.1 | Avg100   -40.4 | Eps 0.465 | Loss 1.1713 | r_int   2.00 | t=20s
  Ep  280 | R   -81.2 | Avg100   -38.8 | Eps 0.446 | Loss 1.0606 | r_int   2.63 | t=22s
  Ep  290 | R   -54.5 | Avg100   -31.3 | Eps 0.426 | Loss 1.6179 | r_int   2.59 | t=25s
  Ep  300 | R   100.4 | Avg100   -30.5 | Eps 0.406 | Loss 1.0956 | r_int  89.97 | t=27s
  Ep  310 | R   -59.9 | Avg100   -19.8 | Eps 0.386 | Loss 1.1507 | r_int   5.03 | t=30s
  Ep  320 | R   -45.7 | Avg100   -20.0 | Eps 0.366 | Loss 1.2012 | r_int   5.49 | t=33s
  Ep  330 | R   -40.2 | Avg100   -21.3 | Eps 0.347 | Loss 0.9639 | r_int   3.55 | t=36s
  Ep  340 | R   -93.8 | Avg100   -21.5 | Eps 0.327 | Loss 1.0005 | r_int   1.20 | t=40s
  Ep  350 | R   -71.2 | Avg100   -19.8 | Eps 0.307 | Loss 0.9657 | r_int   2.33 | t=43s
  Ep  360 | R    -1.6 | Avg100   -17.1 | Eps 0.287 | Loss 0.9577 | r_int   5.07 | t=48s
  Ep  370 | R    -0.7 | Avg100   -22.7 | Eps 0.267 | Loss 0.8546 | r_int   5.66 | t=52s
  Ep  380 | R    -9.5 | Avg100   -21.6 | Eps 0.248 | Loss 0.6881 | r_int   4.36 | t=56s
  Ep  390 | R   129.6 | Avg100   -19.3 | Eps 0.228 | Loss 0.6159 | r_int  19.56 | t=60s
  Ep  400 | R   -44.6 | Avg100   -13.7 | Eps 0.208 | Loss 0.5894 | r_int   0.99 | t=65s
  Ep  410 | R   -42.8 | Avg100   -13.4 | Eps 0.188 | Loss 0.5119 | r_int   4.11 | t=69s
  Ep  420 | R    15.6 | Avg100    -9.6 | Eps 0.168 | Loss 0.4562 | r_int   2.33 | t=72s
  Ep  430 | R   -95.5 | Avg100     3.2 | Eps 0.149 | Loss 0.4756 | r_int   1.22 | t=75s
  Ep  440 | R     6.9 | Avg100     9.3 | Eps 0.129 | Loss 0.4273 | r_int   1.37 | t=78s
  Ep  450 | R   -40.6 | Avg100    19.9 | Eps 0.109 | Loss 0.4009 | r_int   1.44 | t=82s
  Ep  460 | R   199.6 | Avg100    33.9 | Eps 0.089 | Loss 0.4180 | r_int   5.68 | t=86s
  Ep  470 | R   194.2 | Avg100    45.6 | Eps 0.069 | Loss 0.3662 | r_int   2.85 | t=89s
  Ep  480 | R   172.3 | Avg100    60.9 | Eps 0.050 | Loss 0.3543 | r_int   9.06 | t=93s
  Ep  490 | R   226.3 | Avg100    65.6 | Eps 0.030 | Loss 0.3530 | r_int  13.02 | t=97s
  Ep  500 | R   169.3 | Avg100    77.3 | Eps 0.010 | Loss 0.3485 | r_int   6.95 | t=100s
