episode,reward,moving_avg_100,epsilon,loss,steps,intrinsic_sum,shaping_sum,icm_loss
48,-60.69101265665526,-168.7862129826002,0.9049600000000009,1.9033689694969278,153,4.1558506362489425,0.0,0.42971356683655787
49,-106.34742918717045,-167.51195208881592,0.9029800000000009,1.382126028600492,77,1.2451188987179194,0.0,0.36795004418021754
50,-127.13935952835371,-166.70450023760665,0.9010000000000009,1.4791663658618928,99,4.075149662778131,0.0,0.377083420753479
51,-94.38156027043007,-165.2864033755052,0.8990200000000009,1.6134769303931131,74,0.5719358373607974,0.0,0.3656144191821416
52,-154.1909294814584,-165.07302887754273,0.897040000000001,1.7533383149167765,90,5.523698480392341,0.0,0.36278695256813714
53,-197.23368295630308,-165.6798336714816,0.895060000000001,1.8624215733546476,104,2.3910164807602996,0.0,0.37648552426925075
54,-265.6773687117152,-167.53163987593035,0.893080000000001,1.7553465340448462,93,6.714145133009879,0.0,0.3632463365793228
55,-289.1270401296721,-169.7424653350893,0.891100000000001,1.3850106416004044,110,3.2989751524291933,0.0,0.32139174533741816
56,-191.1730816296391,-170.12515491177768,0.889120000000001,1.352817489342256,132,2.0013306997716427,0.0,0.34405894306573
57,-265.98056665352726,-171.8068288019838,0.887140000000001,1.455130266106647,93,0.6847648579860106,0.0,0.32186592337877856
58,-65.68208012888405,-169.97709175589588,0.8851600000000011,1.3610660046339036,81,1.4044310758181382,0.0,0.338716359436512
59,-125.91728490332598,-169.2303153685642,0.8831800000000011,1.972144224281822,110,1.9267788122670026,0.0,0.3525294672165598
60,-108.49849210579525,-168.2181183141847,0.8812000000000011,1.5156010048730033,86,3.283575465611648,0.0,0.2994226139216196
61,-73.26673537600217,-166.66153826601777,0.8792200000000011,1.2602958376369169,123,1.438751454319572,0.0,0.2874229007190274
62,-116.70849132832357,-165.8558439605711,0.8772400000000011,1.1748738147318363,81,2.4489700088306563,0.0,0.25331569388508796
63,-3.0214221987823606,-163.27117059927286,0.8752600000000011,1.8392949285714522,91,9.826502348936629,0.0,0.2997144033079562
